			010010										010020												010030										010040										010050										010060										010069						010070										010080						010120								010130						010160						010170						010180						010200								010230						010310					
			脳腫瘍										くも膜下出血、破裂脳動脈瘤												未破裂脳動脈瘤										非外傷性頭蓋内血腫（非外傷性硬膜下血腫以外）										非外傷性硬膜下血腫										脳梗塞										脳卒中の続発症						脳血管障害										脳脊髄の感染を伴う炎症						特発性（単）ニューロパチー								重症筋無力症						パーキンソン病						基底核等の変性疾患						不随意運動						水頭症								てんかん						脳の障害（その他）					
			件数					在院日数					件数						在院日数						件数					在院日数					件数					在院日数					件数					在院日数					件数					在院日数					件数			在院日数			件数					在院日数					件数			在院日数			件数				在院日数				件数			在院日数			件数			在院日数			件数			在院日数			件数			在院日数			件数				在院日数				件数			在院日数			件数			在院日数		
告示番号	通番	施設名	99	97	97（輸血以外の再掲）	02	01	99	97	97（輸血以外の再掲）	02	01	99	97	97（輸血以外の再掲）	03	02	01	99	97	97（輸血以外の再掲）	03	02	01	99	97	97（輸血以外の再掲）	03	01	99	97	97（輸血以外の再掲）	03	01	99	97	97（輸血以外の再掲）	02	01	99	97	97（輸血以外の再掲）	02	01	99	97	97（輸血以外の再掲）	02	01	99	97	97（輸血以外の再掲）	02	01	99	97	97（輸血以外の再掲）	02	01	99	97	97（輸血以外の再掲）	02	01	99	97	97（輸血以外の再掲）	99	97	97（輸血以外の再掲）	99	97	97（輸血以外の再掲）	02	01	99	97	97（輸血以外の再掲）	02	01	99	97	97（輸血以外の再掲）	99	97	97（輸血以外の再掲）	99	97	97（輸血以外の再掲）	01	99	97	97（輸血以外の再掲）	01	99	97	97（輸血以外の再掲）	99	97	97（輸血以外の再掲）	99	97	97（輸血以外の再掲）	99	97	97（輸血以外の再掲）	99	97	97（輸血以外の再掲）	99	97	97（輸血以外の再掲）	99	97	97（輸血以外の再掲）	99	97	97（輸血以外の再掲）	99	97	97（輸血以外の再掲）	01	99	97	97（輸血以外の再掲）	01	99	97	97（輸血以外の再掲）	99	97	97（輸血以外の再掲）	99	97	97（輸血以外の再掲）	99	97	97（輸血以外の再掲）
10001	10001	札幌医科大学附属病院	252	10		36		6.82	40.10		36.19																																												11					14.45											19			10		6.21			13.40		23			23.83											36			14.78			48	10	10	25.10	29.90	29.90	17			22.47																	125	31	31	5.96	22.39	22.39						
10002	10002	北海道大学病院	91	28	15	72		20.09	22.89	24.87	30.78														24				11	3.46				28.91	17					10.88															24					17.79					13			10.54			23				17	8.09				22.00	12			25.17											22			17.32			68	13	13	19.74	41.00	41.00	23			15.39												10				17.90	104			8.44			17	13	13	11.00	33.85	33.85
10003	10003	旭川医科大学病院	32			44		15.31			40.84						11						29.00		24					2.46					29					16.38															101			18		13.90			22.22								14					4.64					17			17.06																	30			16.40			16			12.63												14				26.50	51			6.14								
10004	10004	弘前大学医学部附属病院				24					25.58						17	14					35.12	25.29	42			18	18	2.71			9.17	16.72	14					7.00								11					3.91					13					16.54								32					3.09					12			22.92																							12			14.92																	19			16.21								
10005	10005	岩手医科大学附属病院	79	19	15	69		16.57	35.84	35.93	44.30																		21					13.62	47				10	18.17				30.50											170					18.39											46				28	5.76				23.54	31			23.03											38			10.03			31			25.39			37			19.00												13				25.92	88			8.57			20			16.50		
10006	10006	東北医科薬科大学病院	28					13.86																	17					4.29					29					26.24								27					12.85		118			10		19.33			28.20								19					10.32					18			16.56																	26			16.77																							38			10.42				28	28		30.79	30.79
